name	Handedness	Height	Weight	Batting Average	HR
Mickey Klutts	R	71	170	0.24	14
Leroy Stanton	R	73	195	0.24	77
Rafael Vasquez	R	72	160	0	0
Len Whitehouse	L	71	175	0	0
Danny Ainge	R	76	175	0.22	2
Adolfo Phillips	R	73	175	0.25	59
Marv Breeding	R	72	175	0.25	7
Steve Adkins	R	78	210	0	0
Dick McAuliffe	L	71	176	0.25	197
Joe Horlen	R	72	170	0.13	0
Glenn Burke	R	72	195	0.24	2
Tony Mack	R	70	177	0	0
Terry Humphrey	R	75	185	0.21	6
Bill Moran	R	76	210	0	0
Enzo Hernandez	R	68	155	0.22	2
Cesar Gutierrez	R	69	155	0.24	0
Coco Laboy	R	70	165	0.23	28
Ted Kubiak	B	72	175	0.23	13
Jim Morrison	R	71	175	0.26	112
Tom Gilles	R	73	185	0	0
Bobby Knoop	R	73	170	0.24	56
Bobby Brown	B	74	190	0.25	26
Tom Hutton	L	71	180	0.25	22
Ron Hodges	L	73	185	0.24	19
Rich Chiles	L	71	170	0.25	6
Tom Paciorek	R	76	215	0.28	86
Gary Woods	R	74	185	0.24	13
Bob Montgomery	R	73	195	0.26	23
Jeff Burroughs	R	73	200	0.26	240
Rusty Staub	L	74	190	0.28	292
Jim Norris	L	70	175	0.26	7
Oscar Gamble	L	71	160	0.27	200
Bob Kammeyer	R	76	210	0	0
George Vukovich	L	72	198	0.27	27
Joe Pactwa	L	71	185	0	0
Craig Reynolds	L	73	175	0.26	42
Paul Blair	R	72	168	0.25	134
Al Cowens	R	73	197	0.27	108
Al Oliver	L	72	195	0.3	219
Dave Hilton	R	71	191	0.21	6
Luis Alvarado	R	69	162	0.21	5
Larry Parrish	R	75	190	0.26	256
Woodie Fryman	R	75	197	0.14	2
Bob Randall	R	74	175	0.26	1
Jim Pankovits	R	70	170	0.25	9
Sherman Corbett	L	76	205	0	0
Carmen Fanzone	R	72	200	0.22	20
Gary Allenson	R	71	185	0.22	19
Milt May	L	72	190	0.26	77
Mike Vail	R	73	180	0.28	34
Nick Esasky	R	75	200	0.25	122
Jim Nettles	L	72	186	0.22	16
Lafayette Currence	B	71	175	0	0
Chris Cannizzaro	R	72	190	0.24	18
Larry Biittner	L	74	205	0.27	29
John Pawlowski	R	74	175	0	0
Mel Stottlemyre	R	73	178	0.16	7
Jack Hardy	R	74	175	0	0
Ron Musselman	R	74	185	0	0
Roy Smalley	B	73	185	0.26	163
Tony Chevez	R	71	177	0	0
Andy Messersmith	R	73	200	0.17	5
Richie Zisk	R	73	200	0.29	207
Dave Chalk	R	70	175	0.25	15
Don Baylor	R	73	190	0.26	338
John Vukovich	R	73	187	0.16	6
Danny Thompson	R	72	183	0.25	15
Joe Simpson	L	75	175	0.24	9
Bill Fahey	L	72	200	0.24	7
Doug Camilli	R	71	195	0.2	18
Bernie Allen	L	72	175	0.24	73
Bruce Bochy	R	75	205	0.24	26
Gary Ignasiak	R	71	185	0	0
Claudell Washington	L	72	190	0.28	164
John Donaldson	L	71	160	0.24	4
Mike Smithson	L	80	215	0	0
John Mayberry	L	75	215	0.25	255
Ken Reitz	R	72	180	0.26	68
Amos Otis	R	71	165	0.28	193
Gene Alley	R	70	160	0.25	55
Ted Sizemore	R	70	165	0.26	23
Dan Briggs	L	72	180	0.2	12
Joe Skalski	R	75	190	0	0
Doug Flynn	R	71	165	0.24	7
Bert Bradley	B	73	190	0	0
Ken Holtzman	R	74	175	0.16	2
Pete Ward	L	73	185	0.25	98
Kevin Bell	R	72	195	0.22	13
Tom Nieto	R	73	193	0.21	5
Duke Sims	L	74	197	0.24	100
Larvell Blanks	R	68	167	0.25	20
Francisco Barrios	R	71	155	0	0
Mike Davis	L	74	175	0.26	91
Jerry Reuss	L	77	200	0.17	1
Steve Yeager	R	72	190	0.23	102
Danny Goodwin	L	73	195	0.24	13
Bud Harrelson	B	71	160	0.24	7
Bob Knepper	L	75	195	0.14	6
Mickey Rivers	L	70	165	0.3	61
Jim Northrup	L	75	190	0.27	153
John Hale	L	74	195	0.2	14
Reggie Ritter	L	74	195	0	0
Pedro Garcia	R	70	175	0.22	37
Carl Yastrzemski	L	71	175	0.29	452
Bob Babcock	R	77	210	0	0
Craig Eaton	R	71	175	0	0
Derrel Thomas	B	72	160	0.25	43
Art Howe	R	74	190	0.26	43
Ike Brown	R	72	190	0.26	20
Howie Goss	R	76	204	0.22	11
Glenn Borgmann	R	76	210	0.23	16
Lamar Johnson	R	74	215	0.29	64
Julio Gonzalez	R	71	162	0.24	4
Bobby Klaus	R	70	170	0.21	6
Manny Sanguillen	R	72	193	0.3	65
Gates Brown	L	71	220	0.26	84
Johnny Ray	B	71	170	0.29	53
Jesus Alou	R	74	190	0.28	32
Ken Landreaux	L	70	165	0.27	91
Enos Cabell	R	76	170	0.28	60
Roy Branch	R	72	175	0	0
Billy North	B	71	185	0.26	20
Juan Beniquez	R	71	150	0.27	79
Frank Fernandez	R	72	185	0.2	39
Bombo Rivera	R	70	187	0.27	10
Steve Brye	R	72	190	0.26	30
Ron Jackson	R	72	200	0.26	56
Roger Metzger	B	72	165	0.23	5
Rufino Linares	R	72	170	0.27	11
Ray Webster	L	72	185	0.24	17
Bob Kearney	R	72	190	0.23	27
Fergie Jenkins	R	77	205	0.17	13
Dick Dietz	R	73	195	0.26	66
Ted Cox	R	75	195	0.25	10
Bobby Mitchell	L	70	170	0.24	3
Bobby Mitchell	R	75	185	0.24	21
Barry Evans	R	73	180	0.25	2
Mickey Brantley	R	70	180	0.26	32
Al Gallagher	R	72	180	0.26	11
Rob Woodward	R	75	185	0	0
Hector Cruz	R	71	170	0.23	39
Fred Norman	B	68	155	0.13	0
Woody Woodward	R	74	180	0.24	1
Ted Martinez	R	72	165	0.24	7
Jim Anderson	R	72	170	0.22	13
Lenn Sakata	R	69	160	0.23	25
Dave Duncan	R	74	190	0.21	109
Randy Jones	R	72	178	0.13	0
Dick Billings	R	73	195	0.23	16
Bob Veselic	R	72	175	0	0
Bruce Bochte	L	75	195	0.28	100
Bernie Carbo	L	71	173	0.26	96
Vic Davalillo	L	67	150	0.28	36
Burt Hooton	R	73	210	0.12	4
Chuck Hockenbery	B	73	195	0	0
Bob Ferris	R	78	225	0	0
Fernando Gonzalez	R	70	165	0.24	17
Jim Sundberg	R	72	190	0.25	95
Andy Kosco	R	75	205	0.24	73
